Country,Points,Price,Province,Region,Variety
US,93,39.0,Washington,Red Mountain,Petit Verdot
US,93,62.0,Washington,Red Mountain,Cabernet Sauvignon
US,88,28.0,California,Carneros,Chardonnay
US,88,36.0,Oregon,McMinnville,Pinot Noir
US,88,24.0,California,Central Coast,Chardonnay
US,88,30.0,California,Russian River Valley,Rhône-style White Blend
US,88,25.0,California,Sonoma County,Merlot
US,88,60.0,Oregon,Chehalem Mountains,Pinot Noir
US,88,54.0,California,Carneros,Pinot Noir
US,88,15.0,Oregon,Willamette Valley,Muscat
US,88,20.0,California,Napa Valley,Sauvignon Blanc
US,88,61.0,California,Santa Lucia Highlands,Pinot Noir
US,88,40.0,California,Paso Robles,Cabernet Sauvignon-Merlot
US,88,39.0,California,Paso Robles,Red Blend
US,88,16.0,California,Monterey County,Pinot Grigio
US,88,32.0,California,Paso Robles,Mourvèdre
US,88,18.0,California,Santa Barbara County,Chardonnay
US,92,58.0,California,Coombsville,Chardonnay
US,92,50.0,California,Amador County,Rhône-style Red Blend
US,92,48.0,California,Russian River Valley,Sparkling Blend
US,92,32.0,California,Sonoma Coast,Pinot Noir
US,92,43.0,California,Santa Maria Valley,Pinot Noir
US,92,100.0,California,Mount Veeder,Cabernet Sauvignon
US,92,35.0,California,Monterey County,Syrah
US,91,60.0,Oregon,Willamette Valley,Pinot Noir
US,91,16.0,Oregon,Oregon,Pinot Gris
US,91,42.0,California,Paso Robles,Syrah
US,91,20.0,California,Napa Valley,Pinot Noir
US,91,38.0,California,Carneros,Pinot Noir
US,91,32.0,California,Clear Lake,Zinfandel
US,94,60.0,Washington,Walla Walla Valley (WA),Syrah
US,94,30.0,California,Napa Valley,Riesling
US,94,30.0,California,Napa Valley,Riesling
US,94,65.0,California,Santa Maria Valley,Pinot Noir
US,94,90.0,Oregon,Dundee Hills,Pinot Noir
US,94,85.0,California,Anderson Valley,Pinot Noir
US,94,70.0,California,Fort Ross-Seaview,Pinot Noir
US,94,70.0,Oregon,Willamette Valley,Pinot Noir
US,94,60.0,California,Russian River Valley,Pinot Noir
US,94,155.0,California,Napa Valley,Cabernet Sauvignon
US,94,48.0,Oregon,Dundee Hills,Pinot Noir
US,94,95.0,California,Mount Veeder,Cabernet Sauvignon
US,94,80.0,California,Carneros,Sparkling Blend
US,94,49.0,Oregon,Ribbon Ridge,Pinot Noir
US,94,50.0,Washington,Walla Walla Valley (WA),Syrah
US,94,95.0,California,Napa Valley,Cabernet Sauvignon
US,94,63.0,Oregon,Willamette Valley,Chardonnay
US,91,50.0,California,Knights Valley,Cabernet Sauvignon
US,91,45.0,California,Napa Valley,Sauvignon Blanc
US,91,38.0,California,Paso Robles Willow Creek District,Rhône-style White Blend
US,91,30.0,Oregon,Willamette Valley,Pinot Noir
US,91,22.0,California,Knights Valley,Syrah
US,91,60.0,California,Napa Valley,Cabernet Sauvignon
US,91,55.0,California,Russian River Valley,Pinot Noir
US,91,48.0,California,Santa Lucia Highlands,Chardonnay
US,91,40.0,California,Russian River Valley,Chardonnay
US,91,50.0,California,Santa Maria Valley,Chardonnay
US,91,48.0,Oregon,Dundee Hills,Pinot Noir
US,91,50.0,Oregon,Willamette Valley,Sparkling Blend
US,91,40.0,California,Santa Lucia Highlands,Chardonnay
US,91,42.0,Oregon,Willamette Valley,Pinot Noir
US,90,41.0,California,Paso Robles,Red Blend
US,90,27.0,California,Paso Robles Willow Creek District,Ugni Blanc
US,90,29.0,Oregon,Umpqua Valley,Grüner Veltliner
US,90,19.0,Oregon,Willamette Valley,Pinot Noir
US,90,15.0,Oregon,Oregon,Pinot Gris
US,90,45.0,Oregon,Dundee Hills,Pinot Noir
US,90,18.0,Oregon,Oregon,Albariño
US,90,15.0,California,California,Cabernet Sauvignon
US,90,15.0,California,North Coast,Cabernet Sauvignon
US,90,24.0,California,Napa Valley,Merlot
US,90,80.0,California,Napa Valley,Red Blend
US,90,50.0,California,Napa Valley,Cabernet Sauvignon
US,90,28.0,California,Dry Creek Valley,Cabernet Sauvignon
US,90,36.0,California,California,Rhône-style Red Blend
US,90,40.0,California,Red Hills Lake County,Cabernet Sauvignon
US,90,50.0,California,Central Coast,Chardonnay
US,90,75.0,California,Paso Robles,Cabernet Sauvignon
US,90,46.0,Washington,Walla Walla Valley (WA),Malbec
US,90,20.0,California,Santa Ynez Valley,White Blend
US,90,75.0,California,Alexander Valley,Cabernet Sauvignon
US,90,28.0,California,Russian River Valley,Sauvignon Blanc
US,90,60.0,California,Napa Valley,Chardonnay
US,90,22.0,California,Sonoma Coast,Chardonnay
US,90,30.0,California,Russian River Valley,Chardonnay
US,90,35.0,California,Alexander Valley,Cabernet Sauvignon
US,90,38.0,California,Sonoma Valley,Rhône-style Red Blend
US,90,22.0,California,Lodi,Tempranillo
US,87,36.0,Washington,Columbia Valley (WA),Cabernet Sauvignon
US,87,30.0,California,Paso Robles,Zinfandel
US,87,20.0,New York,Finger Lakes,Cabernet Franc
US,87,32.0,Washington,Wahluke Slope,Grenache
US,87,20.0,Washington,Columbia Valley (WA),Sauvignon Blanc
US,87,30.0,California,Livermore Valley,Chardonnay
US,87,20.0,California,Lodi,Cabernet Sauvignon
US,87,22.0,Washington,Yakima Valley,Rhône-style White Blend
US,87,20.0,California,Paso Robles,Cabernet Sauvignon
US,86,26.0,California,Knights Valley,Chardonnay
US,86,32.0,California,South Coast,Syrah
US,86,18.0,California,California,Moscato
US,86,35.0,Washington,Red Mountain,Rosé
US,86,34.0,California,Dry Creek Valley,Aglianico
US,86,31.0,California,Napa Valley,Cabernet Sauvignon
US,86,24.0,California,Paso Robles,Viognier
US,86,12.0,Washington,Columbia Valley (WA),Merlot
US,86,18.0,California,Mendocino County,Pinot Noir
US,86,24.0,California,Paso Robles,Chardonnay
US,86,14.0,California,Santa Ynez Valley,Sauvignon Blanc
US,86,38.0,California,Alexander Valley,Primitivo
US,86,12.0,California,California,Pinot Noir
US,86,32.0,California,South Coast,Red Blend
US,86,28.0,California,Dry Creek Valley,Barbera
US,89,49.0,California,Anderson Valley,Pinot Noir
US,89,35.0,Oregon,Willamette Valley,Chardonnay
US,89,30.0,California,Carmel Valley,Bordeaux-style Red Blend
US,89,46.0,Oregon,Chehalem Mountains,Pinot Noir
US,89,50.0,Oregon,Willamette Valley,Pinot Noir
US,89,43.0,California,Santa Ynez Valley,Red Blend
US,89,39.0,California,Santa Barbara County,Syrah
US,89,65.0,California,Paso Robles,Zinfandel
US,89,35.0,Oregon,Rogue Valley,Syrah
US,89,60.0,California,Paso Robles,Zinfandel
US,89,44.0,Oregon,McMinnville,Pinot Noir
US,92,30.0,California,Green Valley,Chardonnay
US,92,45.0,California,Napa Valley,Zinfandel
US,92,125.0,California,Napa Valley,Bordeaux-style Red Blend
US,92,98.0,California,Atlas Peak,Cabernet Sauvignon
US,92,40.0,California,Santa Ynez Valley,Red Blend
US,92,60.0,California,Santa Maria Valley,Chardonnay
US,92,68.0,California,Carneros,Chardonnay
US,92,32.0,Washington,Columbia Valley (WA),Chardonnay
US,92,45.0,California,Santa Barbara County,Syrah
US,92,66.0,Washington,Columbia Gorge (WA),Chardonnay
US,92,32.0,California,Sta. Rita Hills,Chardonnay
US,92,55.0,California,Russian River Valley,Chardonnay
US,92,20.0,California,California,Viognier
US,92,32.0,California,Santa Maria Valley,Chardonnay
US,92,35.0,Washington,Red Mountain,Viognier
US,92,44.0,California,Fort Ross-Seaview,Chardonnay
US,90,24.0,California,Sierra Foothills,Cabernet Franc
US,90,20.0,California,Amador County,Zinfandel
US,90,23.0,California,Central Coast,Pinot Noir
US,90,49.0,California,Green Valley,Pinot Noir
US,90,35.0,California,Lodi,Carignane
US,90,18.0,Oregon,Willamette Valley,Pinot Gris
US,90,42.0,California,Sonoma Valley,Zinfandel
US,90,48.0,Oregon,Dundee Hills,Pinot Noir
US,90,30.0,California,Napa Valley,Chardonnay
US,90,40.0,California,Red Hills Lake County,Cabernet Sauvignon
US,90,22.0,California,Sierra Foothills,Merlot
US,90,15.0,California,California,Cabernet Sauvignon
US,90,15.0,California,North Coast,Cabernet Sauvignon
US,94,62.0,California,Russian River Valley,Pinot Noir
US,94,49.0,Oregon,Dundee Hills,Pinot Noir
US,94,95.0,California,Rutherford,Cabernet Sauvignon
US,94,55.0,California,Coombsville,Chardonnay
US,94,48.0,California,Sta. Rita Hills,Chardonnay
US,94,68.0,California,Sta. Rita Hills,Pinot Noir
US,94,90.0,Oregon,Dundee Hills,Pinot Noir
US,93,60.0,California,Sonoma Coast,Pinot Noir
US,93,125.0,Washington,Washington,Bordeaux-style Red Blend
US,93,85.0,California,Alexander Valley,Cabernet Sauvignon
US,93,60.0,California,Sta. Rita Hills,Pinot Noir
US,93,55.0,California,Santa Maria Valley,Syrah
US,93,58.0,California,Russian River Valley,Chardonnay
US,93,48.0,Oregon,Chehalem Mountains,Pinot Noir
US,93,40.0,California,Amador County,Zinfandel
US,93,60.0,California,California,Chardonnay
US,93,120.0,California,Howell Mountain,Cabernet Sauvignon
US,93,100.0,California,Alexander Valley,Cabernet Sauvignon
US,93,34.0,California,Lodi,Zinfandel
US,91,40.0,California,Napa Valley,Zinfandel
US,91,20.0,Oregon,Dundee Hills,Chardonnay
US,91,55.0,California,Napa Valley,Cabernet Sauvignon
US,91,45.0,California,Ben Lomond Mountain,Pinot Noir
US,91,26.0,Oregon,Chehalem Mountains,Pinot Gris
US,91,28.0,California,Russian River Valley,Chardonnay
US,91,38.0,California,Russian River Valley,Chardonnay
US,91,44.0,California,Napa Valley,Red Blend
US,91,45.0,California,Sonoma Coast,Pinot Noir
US,91,50.0,California,Arroyo Seco,Sauvignon Blanc
US,90,38.0,California,Napa Valley,Cabernet Sauvignon
US,90,64.0,California,Paso Robles,Bordeaux-style Red Blend
US,90,18.0,California,Russian River Valley,Gewürztraminer
US,90,40.0,California,Edna Valley,Pinot Noir
US,90,18.0,Oregon,Willamette Valley,Gewürztraminer
US,90,30.0,California,Russian River Valley,Rhône-style White Blend
US,90,111.0,California,Oak Knoll District,Cabernet Sauvignon
US,90,32.0,Oregon,Rogue Valley,Tempranillo
US,90,57.0,Oregon,Oregon,Pinot Noir
US,90,34.0,California,Russian River Valley,Grenache
US,90,24.0,Oregon,Willamette Valley,Chardonnay
US,88,45.0,California,Dry Creek Valley,Meritage
US,88,30.0,California,Santa Barbara County,Grenache
US,88,39.0,California,Russian River Valley,Chardonnay
US,88,55.0,California,Anderson Valley,Pinot Noir
US,88,22.0,California,Sonoma Coast,Gewürztraminer
US,88,25.0,California,Arroyo Grande Valley,Pinot Noir
US,88,48.0,Oregon,Willamette Valley,Pinot Noir
US,88,19.0,California,Santa Barbara County,Viognier
US,88,18.0,California,Central Coast,Chardonnay
US,88,18.0,California,Alexander Valley,Merlot
US,88,65.0,Oregon,Willamette Valley,Pinot Noir
US,88,25.0,California,Carneros,Chardonnay
US,88,48.0,California,Carneros-Napa Valley,Pinot Noir
US,90,55.0,California,Moon Mountain District Sonoma County,Cabernet Sauvignon
US,90,46.0,California,Sonoma Coast,Chardonnay
US,90,55.0,California,Santa Barbara County,Pinot Noir
US,90,30.0,California,Sta. Rita Hills,Pinot Noir
US,90,25.0,New York,Finger Lakes,Cabernet Franc
US,90,27.0,New York,Finger Lakes,Pinot Noir
US,90,28.0,Washington,Yakima Valley,Syrah
US,90,48.0,California,Sonoma Coast,Chardonnay
US,90,36.0,California,Happy Canyon of Santa Barbara,Sauvignon Blanc
US,90,48.0,California,Paso Robles,Red Blend
US,90,60.0,California,Russian River Valley,Chardonnay
US,90,42.0,California,Oak Knoll District,Cabernet Franc
US,90,45.0,California,Paso Robles,Sangiovese
US,90,39.0,California,Alexander Valley,Zinfandel
US,90,25.0,California,Alexander Valley,Sauvignon Blanc
US,90,40.0,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
US,90,40.0,California,Santa Clara Valley,Charbono
US,90,85.0,California,Mount Veeder,Cabernet Sauvignon
US,90,15.0,California,Dunnigan Hills,Tempranillo
US,86,18.0,California,California,Red Blend
US,85,15.0,California,Livermore Valley,Red Blend
US,85,15.0,California,California,Cabernet Sauvignon
US,85,12.0,California,California,Cabernet Sauvignon
US,85,18.0,California,California,Merlot
US,85,65.0,California,Moon Mountain District Sonoma County,Cabernet Sauvignon
US,89,20.0,California,Yountville,Chardonnay
US,89,25.0,California,Santa Ynez Valley,Riesling
US,89,36.0,California,Santa Maria Valley,Chardonnay
US,89,36.0,California,Santa Ynez Valley,Tempranillo
US,89,30.0,California,Paso Robles,Petit Verdot
US,89,36.0,California,Sierra Foothills,G-S-M
US,89,45.0,Oregon,Willamette Valley,Pinot Noir
US,89,20.0,Oregon,Willamette Valley,Pinot Gris
US,89,28.0,Oregon,Willamette Valley,Pinot Noir
US,89,42.0,California,Santa Ynez Valley,Syrah
US,89,14.0,Oregon,Oregon,Riesling
US,89,18.0,Oregon,Umpqua Valley,Rosé
US,89,39.0,California,California,Red Blend
US,87,28.0,Washington,Yakima Valley,Cabernet Sauvignon
US,87,36.0,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
US,87,28.0,California,Sonoma Valley,Bordeaux-style Red Blend
US,87,18.0,California,Amador County,Primitivo
US,87,32.0,California,Livermore Valley,Red Blend
US,87,28.0,Washington,Horse Heaven Hills,Merlot
US,87,26.0,Washington,Walla Walla Valley (WA),Syrah
US,87,32.0,California,Calistoga,Sauvignon Blanc
US,87,11.0,California,California,Cabernet Sauvignon
US,87,26.0,Washington,Columbia Valley (WA),Rhône-style White Blend
US,87,19.0,California,Napa Valley,Syrah
US,87,28.0,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
US,87,28.0,California,Livermore Valley,Pinot Blanc
US,87,20.0,California,Paso Robles,Zinfandel
US,87,25.0,California,Napa Valley,Red Blend
US,87,16.0,New York,Finger Lakes,Chardonnay
US,87,18.0,New York,Finger Lakes,Gewürztraminer
US,87,25.0,California,Dry Creek Valley,Cabernet Sauvignon
US,90,48.0,Oregon,Dundee Hills,Pinot Noir
US,90,30.0,California,Napa Valley,Chardonnay
US,90,18.0,Oregon,Willamette Valley,Pinot Gris
US,90,70.0,California,Napa Valley,Cabernet Sauvignon
US,90,25.0,California,Oak Knoll District,Riesling
US,90,42.0,California,Napa Valley,Merlot
US,90,50.0,California,Napa Valley,Cabernet Sauvignon
US,90,28.0,California,Mendocino County,Negroamaro
US,90,22.0,California,Amador County,Mourvèdre
US,90,26.0,California,Sierra Foothills,Barbera
US,90,80.0,California,Napa Valley,Red Blend
US,90,28.0,California,Amador County,Tempranillo
US,90,50.0,California,Adelaida District,Rhône-style Red Blend
US,90,40.0,California,Adelaida District,Zinfandel
US,90,22.0,California,Sierra Foothills,Syrah
US,90,50.0,California,Livermore Valley,Cabernet Franc
US,90,55.0,California,Moon Mountain District Sonoma County,Cabernet Sauvignon
US,90,37.0,New York,North Fork of Long Island,Champagne Blend
US,90,42.0,California,Lake County,Merlot
US,90,60.0,California,Oak Knoll District,Cabernet Sauvignon
US,90,27.0,New York,Finger Lakes,Pinot Noir
US,90,48.0,California,Sonoma Coast,Pinot Noir
US,90,45.0,California,Santa Lucia Highlands,Pinot Noir
US,90,15.0,California,Dunnigan Hills,Tempranillo
US,90,40.0,California,Paso Robles,Cabernet Sauvignon
US,92,35.0,Washington,Red Mountain,Viognier
US,92,44.0,California,Fort Ross-Seaview,Chardonnay
US,92,32.0,California,Santa Maria Valley,Chardonnay
US,92,50.0,California,Sonoma Valley,Zinfandel
US,92,27.0,California,Arroyo Grande Valley,Chardonnay
US,92,15.0,Washington,Columbia Valley (WA),Riesling
US,92,35.0,California,Santa Ynez Valley,Syrah
US,92,33.0,California,Santa Cruz Mountains,Cabernet Sauvignon
US,92,140.0,Washington,Columbia Valley (WA),Merlot
US,92,35.0,California,Santa Barbara County,Syrah-Cabernet Sauvignon
US,92,75.0,Washington,Red Mountain,Cabernet Sauvignon
US,92,40.0,California,Santa Ynez Valley,Rhône-style Red Blend
US,92,21.0,Washington,Columbia Gorge (WA),Riesling
US,92,80.0,California,Paso Robles,Red Blend
US,92,28.0,Washington,Columbia Valley (WA),Cabernet Sauvignon
US,92,40.0,California,Sonoma Coast,Chardonnay
US,93,40.0,California,Edna Valley,Syrah
US,93,65.0,California,Napa Valley,Chardonnay
US,93,28.0,California,San Luis Obispo,Syrah
US,93,51.0,California,Russian River Valley,Chardonnay
US,93,30.0,California,Paso Robles,Cabernet Sauvignon
US,93,45.0,California,Napa Valley,Sauvignon Blanc
US,93,32.0,California,Paso Robles,Red Blend
US,93,125.0,Oregon,Dundee Hills,Chardonnay
US,93,150.0,California,Rutherford,Cabernet Sauvignon
US,93,60.0,California,Fort Ross-Seaview,Syrah
US,93,70.0,Oregon,Willamette Valley,Pinot Noir
US,93,60.0,Oregon,Dundee Hills,Pinot Noir
US,93,80.0,California,Carneros,Sparkling Blend
US,93,32.0,California,Sonoma Coast,Syrah
US,93,60.0,California,Sta. Rita Hills,Pinot Noir
US,93,45.0,California,Sta. Rita Hills,Chardonnay
US,93,60.0,Oregon,Eola-Amity Hills,Pinot Noir
US,93,80.0,California,Fort Ross-Seaview,Pinot Noir
US,93,85.0,California,Santa Maria Valley,Pinot Noir
US,89,39.0,California,California,Red Blend
US,89,25.0,California,Carneros,Chardonnay
US,89,31.0,California,Livermore Valley,Rhône-style Red Blend
US,89,25.0,California,Arroyo Grande Valley,Sparkling Blend
US,89,18.0,Oregon,Willamette Valley,Pinot Gris
US,89,25.0,Oregon,Dundee Hills,Rosé
US,89,65.0,California,Oakville,Cabernet Sauvignon
US,89,40.0,Oregon,Willamette Valley,Pinot Noir
US,89,26.0,California,Santa Barbara County,Pinot Noir
US,90,28.0,Oregon,Oregon,Tempranillo
US,90,40.0,California,Mendocino,Red Blend
US,90,72.0,California,Sonoma Coast,Pinot Noir
US,90,44.0,California,Anderson Valley,Pinot Noir
US,90,36.0,California,Russian River Valley,Chardonnay
US,90,70.0,California,Sta. Rita Hills,Chardonnay
US,90,48.0,Oregon,McMinnville,Pinot Noir
US,90,125.0,California,Rutherford,Cabernet Sauvignon
US,90,37.0,Oregon,Willamette Valley,Pinot Noir
US,90,28.0,Oregon,Willamette Valley,Sparkling Blend
US,85,13.0,California,California,Chardonnay
US,85,20.0,California,California,Chardonnay
US,85,18.0,California,California,Pinot Grigio
US,85,100.0,California,Napa Valley,Cabernet Sauvignon
US,85,30.0,California,Russian River Valley,Chardonnay
US,91,65.0,Oregon,Chehalem Mountains,Pinot Noir
US,91,32.0,Oregon,Dundee Hills,Pinot Noir
US,91,36.0,California,Santa Lucia Highlands,Pinot Noir
US,91,43.0,California,Alexander Valley,Syrah
US,91,65.0,Oregon,Chehalem Mountains,Pinot Noir
US,91,48.0,California,Russian River Valley,Pinot Noir
US,91,42.0,California,Sonoma Mountain,Pinot Noir
US,88,19.0,Oregon,Umpqua Valley,Pinot Noir
US,88,21.0,California,Napa Valley,Merlot
US,88,20.0,Oregon,Dundee Hills,Pinot Noir
US,88,25.0,Virginia,Virginia,Cabernet Franc
US,88,72.0,Virginia,Virginia,Bordeaux-style Red Blend
US,88,70.0,California,Napa Valley,Bordeaux-style Red Blend
US,88,26.0,California,Amador County,Mourvèdre
US,88,19.0,Virginia,Virginia,Merlot
US,88,12.0,California,Lodi,Zinfandel
US,88,22.0,California,Santa Barbara County,Chardonnay
US,88,19.0,California,Napa Valley,Fumé Blanc
US,88,40.0,California,Carneros,Pinot Noir
US,88,70.0,California,Santa Maria Valley,Pinot Noir
US,87,34.0,California,Santa Ynez Valley,Merlot
US,87,38.0,California,Santa Ynez Valley,Cabernet Sauvignon
US,87,14.0,New York,Finger Lakes,Chardonnay
US,87,20.0,Washington,Horse Heaven Hills,Zinfandel
US,87,30.0,Washington,Naches Heights,Nebbiolo
US,87,40.0,New York,Long Island,Cabernet Sauvignon
US,87,25.0,New York,Finger Lakes,Cabernet Sauvignon
US,87,24.0,California,Anderson Valley,Riesling
US,87,16.0,California,Santa Barbara County,Chardonnay
US,87,20.0,California,Sonoma County,Bordeaux-style Red Blend
US,87,12.0,California,California,White Blend
US,87,20.0,New York,Finger Lakes,Riesling
US,87,28.0,Washington,Columbia Valley (WA),Merlot
US,87,22.0,California,Livermore Valley,White Blend
US,87,50.0,Washington,Walla Walla Valley (WA),Red Blend
US,87,28.0,California,Santa Clara Valley,Roussanne
US,87,25.0,California,Napa Valley,Cabernet Sauvignon
US,87,40.0,Washington,Yakima Valley,Touriga Nacional
US,87,18.0,California,Dry Creek Valley,Cabernet Sauvignon
US,87,14.0,Washington,Columbia Valley (WA),Merlot
US,90,26.0,California,Lake County,Sauvignon Blanc
US,90,20.0,California,Mendocino County,Cabernet Sauvignon
US,90,50.0,California,Adelaida District,Mourvèdre
US,90,42.0,California,Santa Barbara County,Grenache
US,90,28.0,California,Central Coast,Chardonnay
US,90,32.0,Oregon,Willamette Valley,Pinot Noir
US,90,25.0,California,Alexander Valley,Sauvignon Blanc
US,90,40.0,California,Napa Valley,Syrah
US,90,90.0,California,Rutherford,Cabernet Sauvignon
US,90,45.0,California,Russian River Valley,Chardonnay
US,90,19.0,Oregon,Willamette Valley,Pinot Gris
US,90,25.0,California,San Luis Obispo County,Gewürztraminer
US,90,22.0,Oregon,Willamette Valley,Pinot Noir
US,90,56.0,California,Paso Robles,Cabernet Franc
US,90,40.0,California,Santa Lucia Highlands,Chardonnay
US,90,85.0,California,Sonoma Coast,Pinot Noir
US,90,24.0,California,Carneros,Chardonnay
